Size (ft^2),Price ($1000)
18423,4291.868608089733
3928,921.6481024734765
25229,5893.79450587496
11943,2791.5246210499713
12362,2877.6608575979376
1200,289.9167054309908
28649,6685.389373807809
25328,5903.797516500434
9638,2245.0514206442463
20356,4741.866604933456
19891,4647.905340424731
4834,1120.5625648443522
22490,5237.766086100186
12101,2813.8263892080413
24030,5600.32677209933
23787,5554.628766185459
29502,6889.98300240603
24502,5724.312116720997
20204,4707.991981997719
6174,1437.2294533092474
8288,1937.0056246601066
4417,1026.5377800103768
18138,4234.8925071252315
19925,4644.558879954081
24169,5639.641118911169
13798,3227.531336308242
4029,938.7534207847966
25248,5891.65854010466
5073,1174.8721520673373
13260,3085.62693063743
8838,2065.199689565137
29175,6812.009262758925
13321,3104.9914730113123
23222,5420.566298682108
15000,3498.5313074228425
17974,4187.137088392275
4925,1157.8597306339286
13717,3191.8173297204085
3612,842.8869563364045
27576,6429.197791034043
5534,1291.6605475442548
12230,2856.1983379105295
27130,6326.518152512993
26790,6255.171951269741
17123,3997.099824864971
22259,5187.173165483989
7296,1700.6691113068123
6508,1516.1080692824191
3832,892.2739075708939
26853,6273.737981048529
26916,6274.975393693237
7623,1777.1566815143035
7180,1682.2483272470847
10328,2404.071069535901
7704,1793.1277286221105
6387,1482.862335125619
15990,3740.6837648377636
29230,6813.177489840038
16193,3770.4587747694
25919,6046.375178499304
14234,3313.753177620136
13846,3230.5233485507865
20146,4703.538029583326
7176,1674.6856042067836
1197,272.39623674581173
9542,2229.1342540273045
29578,6894.534234086153
1037,248.9789637753311
12876,3011.0894890886375
5848,1359.7802108430687
6980,1633.1790261688561
4557,1072.6367278404193
1121,253.9726858224894
21797,5078.439520715087
13317,3115.945002065905
13607,3176.04655339971
5452,1276.7851759847802
12694,2964.2185782998654
24934,5826.924548855349
20947,4878.86261445345
26331,6136.134018577827
15837,3696.0582506843143
23400,5453.956597218226
28656,6693.944002522586
8325,1946.366756534645
29029,6773.3774521718815
19536,4564.043004332825
13269,3093.080187838198
6195,1449.2286515295875
1881,437.46253173844843
28075,6546.335199901754
3214,757.1206120564048
6618,1538.525364054642
23720,5527.881555028562
16458,3832.0384574620075
16706,3896.8202804782754
19705,4596.6107361631375
4081,950.9833643668461
11221,2618.98072581961
10978,2568.0442594736824
21881,5096.846653117289
27222,6353.146724497539
11953,2795.972781183555
3827,888.6528120862001
3838,897.2113620340602
28815,6720.75790027869
2207,511.2699167163653
25443,5926.754424785835
11615,2707.4158826910702
22761,5302.207866271974
14160,3301.197023666819
8233,1927.2699035387614
26923,6284.713657572949
3573,833.6315376011905
9767,2271.196148572113
19004,4428.075894341927
25794,6022.861854774892
7405,1722.4938872669522
18131,4224.634809412955
6448,1498.8979361059041
17495,4079.873950354384
877,204.81734020899944
19662,4593.222556478347
14205,3308.3568511896733
14646,3418.5653160645807
12199,2848.6367101884343
12080,2825.3471295996655
12227,2845.363901947338
12726,2971.449913881122
18550,4326.434281677042
19484,4541.310675707847
28180,6573.693597789149
6456,1504.6185722652306
17119,3997.8876738335935
15722,3670.2131073748315
23740,5548.818309252948
4727,1109.5143515828213
10999,2560.117552128172
5750,1347.3500996958603
23786,5549.835709083404
25083,5845.854766314777
14334,3353.0930507269795
27782,6484.761863179361
2289,533.2890185419726
24161,5632.415427639464
4392,1034.0680267752057
15788,3682.7961981535163
6440,1507.709701390151
10223,2379.323586407474
20205,4712.12822580505
18702,4372.349593111251
13458,3133.4930426815786
23037,5377.488950744283
15677,3660.136348192267
29290,6836.210688741575
1419,330.7981787355912
8405,1955.3996703912358
9563,2234.998294717267
14901,3467.9780632260936
20596,4812.484077277539
22421,5239.362718660796
26479,6183.285781294247
8893,2065.7202887011913
10786,2523.984289295391
11170,2603.2795371074567
7743,1801.9277788759223
24244,5653.218397472386
2566,591.8957100202216
23043,5368.295594870239
3577,842.0738516085746
15272,3560.9207440795153
26005,6072.5759678784025
12901,3010.537922786995
27983,6521.9857066867135
19547,4552.370759410797
27441,6398.985486217539
14666,3424.0845681638903
1614,369.7524721335095
7399,1720.1203597569647
9161,2133.3074458687865
14703,3427.98550930011
21030,4913.481771320782
10514,2461.3017062273557
979,221.03190196791778
14063,3282.4275844290687
582,129.11490984950643
5943,1388.2029267369473
5075,1191.6254903165034
24604,5732.727320022356
20552,4795.984251288745
21847,5088.363028411918
683,164.580634082233
5151,1197.3799371183159
24818,5782.2888796935085
27904,6518.882822700177
21478,5011.813833582931
10424,2436.485932162494
29395,6852.957221652498
22792,5324.836472843756
14224,3320.882001524788
3236,745.6086867630399
12290,2865.46273984199
26971,6287.044610212913
21086,4916.483345217476
29995,6998.847269241501
18450,4306.929435742484
5696,1333.2741888045944
24242,5653.318928810596
29915,6978.399380959585
3268,754.8969868676024
2013,465.3619565674934
25560,5957.6450896398665
2972,695.236763067267
22669,5285.323219222362
6521,1512.5399598143886
27319,6377.259210595581
12678,2958.1830890198826
4652,1089.6032806789874
11892,2779.0152359001477
12408,2902.768785250319
17627,4115.920424128657
12861,2996.5454292377417
23890,5572.02135083409
15327,3568.252079932532
6704,1561.7375606222042
29528,6887.538260311759
4521,1053.7024244577433
24501,5709.981968753178
22167,5168.598085682647
19571,4574.819820701297
18136,4236.030970895422
17183,3999.6919585369956
18132,4224.260985147792
17238,4012.4020569725753
20301,4736.064215384458
19019,4446.307128980486
24319,5670.5992926028675
6175,1446.7298878012837
27880,6509.024072555348
15067,3522.5399396498974
20397,4767.704573500294
8919,2073.8356152620777
923,218.92391356377786
7386,1724.0175428453645
7253,1701.028043546116
2050,484.79826391750646
29704,6932.10243289719
14686,3432.3083100258686
26521,6197.623877639148
12928,3021.8835569388334
19629,4574.2842445616825
5347,1242.6822715688254
9048,2113.8794383913696
6950,1627.7445583444767
21999,5140.174485471979
21155,4938.827086944266
11394,2649.63753407214
13301,3102.6058109654746
26844,6256.267235320331
11130,2604.1564759008993
18929,4411.273371140699
11054,2581.8079522620737
682,164.315189016653
27263,6362.370957139089
26028,6073.96124911116
2184,510.39083378249506
23879,5576.020146145956
24031,5615.94167124962
12160,2835.344213422448
20811,4864.367319864818
17990,4187.645852518551
21589,5036.708560229777
13959,3259.972355923352
11907,2779.2258148101996
13592,3174.321196456177
29263,6819.063829454994
8996,2093.9199072964775
28348,6614.094772336606
21386,4981.656551399074
24548,5729.73309996943
21240,4948.59942782746
9292,2161.778269572931
25958,6054.093063630462
24852,5790.717180250039
1552,356.84880603805055
1497,343.9317565132614
5368,1261.3611568340946
6406,1485.2515147612116
18212,4254.18724688141
28963,6749.653197971842
23895,5570.711759852825
13240,3079.3554139401676
17731,4143.482055495677
11554,2700.874606168888
10777,2514.4845508134263
13873,3235.236895973443
6272,1455.2521532694636
21670,5050.121360558105
17756,4149.481151056965
9875,2312.759289228302
8218,1912.5660824823285
23088,5391.335494065453
6465,1503.663917167957
21610,5044.915582909722
17599,4100.267191054709
892,199.61298618754185
5544,1288.208207284816
28427,6627.741179612108
15303,3566.2558511211473
12391,2888.6667950900014
16472,3848.809577247852
3636,847.5400052593369
29434,6872.748012980361
18474,4319.391280942021
10508,2457.887894560079
29644,6916.817373009902
28919,6752.100818994717
22337,5214.216262619553
6878,1608.3210950988005
7347,1717.866871852837
23122,5392.593534244079
29690,6929.645366739784
2908,674.8262640663064
13799,3217.86843064746
22357,5223.605744174846
5720,1339.2263632483682
24726,5779.147736962917
8804,2058.971548808107
18983,4419.537970978831
10017,2345.2653515954735
6315,1477.5017197483503
29389,6849.479845537333
4067,943.4228398658562
